Religion,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brethren,,105.6,211.2,316.8,422.4,528.0,633.6,739.2,844.8,950.4,1056.0,1166.9,1277.8,1388.7,1499.6,1610.5,1721.4,1832.3,1943.2,2054.1,2165.0,2172.1,2179.2,2186.3,2193.4,2200.5,2207.6,2214.7,2221.8,2228.9,2236.0,2408.3,2580.6,2752.9,2925.2,3097.5,3269.8,3442.1,3614.4,3786.7,3959.0,3944.416667,3929.833333,3915.25,3900.666667,3886.083333,3871.5,3856.916667,3842.333333,3827.75,3813.166667,3798.583333,3784.0,3828.071429,3872.142857,3916.214286,3960.285714,4004.357143,4048.428571,4092.5,4136.571429,4180.642857,4224.714286,4268.785714,4312.857143,4356.928571,4401.0,4541.428571,4681.857143,4822.285714,4962.714286,5103.142857,5243.571429,5384.0,5310.428571,5236.857143,5163.285714,5089.714286,5016.142857,4942.571429,4869.0,4788.0,4707.0,4626.0,4545.0,4464.0,4879.4,5294.8,5710.2,6125.6,6541.0,6275.2,6009.4,5743.6,5477.8,5212.0,5371.0,5530.0,5689.0,5848.0,6007.0,6128.8,6250.6,6372.4,6494.2,6616.0,6652.6,6689.2,6725.8,6762.4,6799.0,6691.0,6583.0,6475.0,6367.0,6259.0,6151.4,6043.8,5936.2,5828.6,5721.0,6121.2,6521.4,6921.6,7321.8,7722.0,7651.2,7580.4,7509.6,7438.8,7368,7200.0,7032.0,6864.0,6696.0,6528
Churches of Christ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,645.8,1291.6,1937.4,2583.2,3229.0,3874.8,4520.6,5166.4,5812.2,6458.0,6606.3,6754.6,6902.9,7051.2,7199.5,7347.8,7496.1,7644.4,7792.7,7941.0,8000.75,8060.5,8120.25,8180.0,8239.75,8299.5,8359.25,8419.0,8478.75,8538.5,8598.25,8658.0,8773.071429000001,8888.142856999999,9003.214286,9118.285714,9233.357143000001,9348.428570999999,9463.5,9578.571429000001,9693.642856999999,9808.714286,9923.785714,10038.85714,10153.92857,10269.0,10311.57143,10354.14286,10396.71429,10439.28571,10481.85714,10524.42857,10567.0,10898.71429,11230.42857,11562.14286,11893.85714,12225.57143,12557.28571,12889.0,13099.2,13309.4,13519.6,13729.8,13940.0,14022.6,14105.2,14187.8,14270.4,14353.0,14094.2,13835.4,13576.6,13317.8,13059.0,13286.4,13513.8,13741.2,13968.6,14196.0,14386.2,14576.4,14766.6,14956.8,15147.0,15026.8,14906.6,14786.4,14666.2,14546.0,14341.0,14136.0,13931.0,13726.0,13521.0,12998.2,12475.4,11952.6,11429.8,10907.0,10636.0,10365.0,10094.0,9823.0,9552.0,9034.4,8516.8,7999.2,7481.6,6964,6683.8,6403.6,6123.4,5843.2,5563
Baha'I,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,903.6,1807.2,2710.8,3614.4,4518,4508.4,4498.8,4489.2,4479.6,4470
Catholic,207606.0,215596.4,223586.8,231577.2,239567.6,247558.0,255548.4,263538.8,271529.2,279519.6,287510.0,293540.6,299571.2,305601.8,311632.4,317663.0,323693.6,329724.2,335754.8,341785.4,347816.0,354381.1,360946.2,367511.3,374076.4,380641.5,387206.6,393771.7,400336.8,406901.9,413467.0,422651.9,431836.8,441021.7,450206.6,459391.5,468576.4,477761.3,486946.2,496131.1,505316.0,509874.8333,514433.6667,518992.5,523551.3333,528110.1667,532669.0,537227.8333,541786.6667,546345.5,550904.3333,555463.1667,560022.0,568910.2857,577798.5714,586686.8571,595575.1429,604463.4286,613351.7143,622240.0,631128.2857,640016.5714,648904.8571,657793.1429,666681.4286,675569.7143,684458.0,707314.4286,730170.8571,753027.2857,775883.7143,798740.1429,821596.5714,844453.0,871214.4286,897975.8571,924737.2857,951498.7143,978260.1429,1005021.571,1031783.0,1060382.2,1088981.4,1117580.6,1146179.8,1174779.0,1203673.2,1232567.4,1261461.6,1290355.8,1319250.0,1318274.4,1317298.8,1316323.2,1315347.6,1314372.0,1336397.2,1358422.4,1380447.6,1402472.8,1424498.0,1445433.6,1466369.2,1487304.8,1508240.4,1529176.0,1561870.4,1594564.8,1627259.2,1659953.6,1692648.0,1705392.8,1718137.6,1730882.4,1743627.2,1756372.0,1769526.0,1782680.0,1795834.0,1808988.0,1822142.0,1826813.2,1831484.4,1836155.6,1840826.8,1845498.0,1856875.8,1868253.6,1879631.4,1891009.2,1902387,1916904.2,1931421.4,1945938.6,1960455.8,1974973
Anglican,352316.0,367770.6,383225.2,398679.8,414134.4,429589.0,445043.6,460498.2,475952.8,491407.4,506862.0,518822.4,530782.8,542743.2,554703.6,566664.0,578624.4,590584.8,602545.2,614505.6,626466.0,640909.8,655353.6,669797.4,684241.2,698685.0,713128.8,727572.6,742016.4,756460.2,770904.0,798590.6,826277.2,853963.8,881650.4,909337.0,937023.6,964710.2,992396.8,1020083.4,1047770.0,1057352.25,1066934.5,1076516.75,1086099.0,1095681.25,1105263.5,1114845.75,1124428.0,1134010.25,1143592.5,1153174.75,1162757.0,1173634.929,1184512.857,1195390.7859999998,1206268.7140000002,1217146.643,1228024.571,1238902.5,1249780.429,1260658.357,1271536.2859999998,1282414.2140000002,1293292.143,1304170.071,1315048.0,1340603.143,1366158.2859999998,1391713.429,1417268.571,1442823.7140000002,1468378.8569999998,1493934.0,1507054.571,1520175.1430000002,1533295.7140000002,1546416.2859999998,1559536.8569999998,1572657.429,1585778.0,1598483.6,1611189.2,1623894.8,1636600.4,1649306.0,1658698.4,1668090.8,1677483.2,1686875.6,1696268.0,1673862.6,1651457.2,1629051.8,1606646.4,1584241.0,1591043.6,1597846.2,1604648.8,1611451.4,1618254.0,1607734.4,1597214.8,1586695.2,1576175.6,1565656.0,1565989.6,1566323.2,1566656.8,1566990.4,1567324.0,1561199.8,1555075.6,1548951.4,1542827.2,1536703.0,1532375.8,1528048.6,1523721.4,1519394.2,1515067.0,1500494.0,1485921.0,1471348.0,1456775.0,1442202.0,1429438.0,1416674.0,1403910.0,1391146.0,1378382,1335100.4,1291818.8,1248537.2,1205255.6,1161974
Buddhism,,936.9,1873.8,2810.7,3747.6,4684.5,5621.4,6558.3,7495.2,8432.1,9369.0,8795.1,8221.2,7647.3,7073.4,6499.5,5925.6,5351.7,4777.8,4203.9,3630.0,3311.8,2993.6,2675.4,2357.2,2039.0,1720.8,1402.6,1084.4,766.2,448.0,418.9,389.8,360.7,331.6,302.5,273.4,244.3,215.2,186.1,157.0,143.91666669999998,130.8333333,117.75,104.66666670000001,91.58333333,78.5,65.41666667,52.33333333,39.25,26.16666667,13.08333333,,11.71428571,23.42857143,35.14285714,46.85714286,58.57142857,70.28571429,82.0,93.71428571,105.42857140000001,117.1428571,128.8571429,140.5714286,152.28571430000002,164.0,140.5714286,117.1428571,93.71428571,70.28571429,46.85714286,23.42857143,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3127.0,6254.0,9381.0,12508.0,15635.0,19530.6,23426.2,27321.8,31217.4,35113.0,39838.6,44564.2,49289.8,54015.4,58741.0,63374.4,68007.8,72641.2,77274.6,81908.0,95071.4,108234.8,121398.2,134561.6,147725.0,151791.4,155857.8,159924.2,163990.6,168057.0,174652.2,181247.4,187842.6,194437.8,201033,202417.2,203801.4,205185.6,206569.8,207954
Hinduism,,5.5,11.0,16.5,22.0,27.5,33.0,38.5,44.0,49.5,55.0,93.5,132.0,170.5,209.0,247.5,286.0,324.5,363.0,401.5,440.0,414.3,388.6,362.9,337.2,311.5,285.8,260.1,234.4,208.7,183.0,164.7,146.4,128.1,109.8,91.5,73.2,54.9,36.6,18.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.642857143,13.28571429,19.92857143,26.57142857,33.21428571,39.85714286,46.5,53.14285714,59.78571429,66.42857143,73.07142857,79.71428571,86.35714286,93.0,79.71428571,66.42857143,53.14285714,39.85714286,26.57142857,13.28571429,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2059.4,4118.8,6178.2,8237.6,10297.0,12700.0,15103.0,17506.0,19909.0,22312.0,24964.8,27617.6,30270.4,32923.2,35576.0,38745.2,41914.4,45083.6,48252.8,51422.0,55915.4,60408.8,64902.2,69395.6,73889.0,83071.6,92254.2,101436.8,110619.4,119802,132123.4,144444.8,156766.2,169087.6,181409
Sikhism,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.8,5.6,8.4,11.2,14.0,16.8,19.6,22.4,25.2,28.0,31.1,34.2,37.3,40.4,43.5,46.6,49.7,52.8,55.9,59.0,53.1,47.2,41.3,35.4,29.5,23.6,17.7,11.8,5.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.357142857,2.714285714,4.071428571,5.428571429,6.785714286,8.142857142999999,9.5,10.85714286,12.21428571,13.57142857,14.92857143,16.28571429,17.64285714,19.0,16.28571429,13.57142857,10.85714286,8.142857142999999,5.428571429,2.714285714,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4340.6,8681.2,13021.8,17362.4,21703,23709.0,25715.0,27721.0,29727.0,31733
Chinese Religions,,75.1,150.2,225.3,300.4,375.5,450.6,525.7,600.8,675.9,751.0,860.0,969.0,1078.0,1187.0,1296.0,1405.0,1514.0,1623.0,1732.0,1841.0,1963.7,2086.4,2209.1,2331.8,2454.5,2577.2,2699.9,2822.6,2945.3,3068.0,3024.5,2981.0,2937.5,2894.0,2850.5,2807.0,2763.5,2720.0,2676.5,2633.0,2413.583333,2194.166667,1974.75,1755.3333329999998,1535.916667,1316.5,1097.083333,877.6666667000002,658.25,438.83333330000005,219.41666669999998,,20.42857143,40.85714286,61.28571429,81.71428571,102.1428571,122.57142859999999,143.0,163.4285714,183.8571429,204.28571430000002,224.71428569999998,245.1428571,265.5714286,286.0,245.1428571,204.28571430000002,163.4285714,122.57142859999999,81.71428571,40.85714286,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,325.8,651.6,977.4,1303.2,1629,1686.4,1743.8,1801.2,1858.6,1916
Japanese Religions,,0.3,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.7,3.0,5.6,8.2,10.8,13.4,16.0,18.6,21.2,23.8,26.4,29.0,26.2,23.4,20.6,17.8,15.0,12.2,9.4,6.6,3.8,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.214285714,0.428571429,0.642857143,0.857142857,1.071428571,1.285714286,1.5,1.714285714,1.928571429,2.142857143,2.357142857,2.5714285709999998,2.785714286,3.0,2.5714285709999998,2.142857143,1.714285714,1.285714286,0.857142857,0.428571429,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,111.0,222.0,333.0,444.0,555,552.4,549.8,547.2,544.6,542
No Religion,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,164.2,328.4,492.6,656.8,821.0,985.2,1149.4,1313.6,1477.8,1642.0,1745.9,1849.8,1953.7,2057.6,2161.5,2265.4,2369.3,2473.2,2577.1,2681.0,2412.9,2144.8,1876.7,1608.6,1340.5,1072.4,804.3,536.2,268.1,,364.6666667,729.3333332999999,1094.0,1458.666667,1823.3333329999998,2188.0,2552.666667,2917.333333,3282.0,3646.666667,4011.333333,4376.0,4539.071429,4702.142857,4865.214286,5028.285714,5191.357143,5354.428571,5517.5,5680.571429,5843.642857,6006.714286,6169.785714,6332.857143,6495.928571,6659.0,6912.857143000001,7166.714286,7420.5714290000005,7674.4285709999995,7928.285714,8182.142856999999,8436.0,9266.285714,10096.57143,10926.85714,11757.14286,12587.42857,13417.71429,14248.0,18037.6,21827.2,25616.8,29406.4,33196.0,77283.0,121370.0,165457.0,209544.0,253631.0,264744.0,275857.0,286970.0,298083.0,309196.0,335988.6,362781.2,389573.8,416366.4,443159.0,462420.6,481682.2,500943.8,520205.4,539467.0,546287.6,553108.2,559928.8,566749.4,573570.0,613145.4,652720.8,692296.2,731871.6,771447.0,764757.4,758067.8,751378.2,744688.6,737999.0,777151.8,816304.6,855457.4,894610.2,933763.0,989211.6,1044660.2,1100108.8,1155557.4,1211006,1344717.6,1478429.2,1612140.8,1745852.4,1879564
Other Spiritual Belief,828.0,2854.7,4881.4,6908.1,8934.8,10961.5,12988.2,15014.9,17041.6,19068.3,21095.0,20691.0,20287.0,19883.0,19479.0,19075.0,18671.0,18267.0,17863.0,17459.0,17055.0,18841.3,20627.6,22413.9,24200.2,25986.5,27772.8,29559.1,31345.4,33131.7,34918.0,35180.1,35442.2,35704.3,35966.4,36228.5,36490.6,36752.7,37014.8,37276.9,37539.0,59640.25,81741.5,103842.75,125944.0,148045.25,170146.5,192247.75,214349.0,236450.25,258551.5,280652.75,302754.0,305268.5714,307783.1429,310297.7143,312812.2857,315326.8571,317841.4286,320356.0,322870.5714,325385.1429,327899.7143,330414.2857,332928.8571,335443.4286,337958.0,333921.4286,329884.8571,325848.2857,321811.7143,317775.1429,313738.5714,309702.0,322511.4286,335320.8571,348130.2857,360939.7143,373749.1429,386558.5714,399368.0,399454.6,399541.2,399627.8,399714.4,399801.0,375704.4,351607.8,327511.2,303414.6,279318.0,334067.2,388816.4,443565.6,498314.8,553064.0,546686.8,540309.6,533932.4,527555.2,521178.0,531664.6,542151.2,552637.8,563124.4,573611.0,568487.8,563364.6,558241.4,553118.2,547995.0,539745.6,531496.2,523246.8,514997.4,506748.0,543627.0,580506.0,617385.0,654264.0,691143.0,699437.0,707731.0,716025.0,724319.0,732613.0,702818.0,673023.0,643228.0,613433.0,583638,606151.2,628664.4,651177.6,673690.8,696204
Islam,,52.8,105.6,158.4,211.2,264.0,316.8,369.6,422.4,475.2,528.0,582.4,636.8,691.2,745.6,800.0,854.4,908.8,963.2,1017.6,1072.0,966.2,860.4,754.6,648.8,543.0,437.2,331.4,225.6,119.8,14.0,81.8,149.6,217.4,285.2,353.0,420.8,488.6,556.4,624.2,692.0,677.9166667000001,663.8333332999999,649.75,635.6666667000001,621.5833332999999,607.5,593.4166667000001,579.3333332999999,565.25,551.1666667000001,537.0833332999999,523.0,527.3571429,531.7142857,536.0714286,540.4285714,544.7857142999999,549.1428571,553.5,557.8571429,562.2142857000001,566.5714286,570.9285714,575.2857142999999,579.6428571,584.0,500.57142860000005,417.14285710000007,333.7142857,250.28571430000002,166.8571429,83.42857143,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1961.6,3923.2,5884.8,7846.4,9808.0,12287.6,14767.2,17246.8,19726.4,22206.0,25470.6,28735.2,31999.8,35264.4,38529.0,42333.4,46137.8,49942.2,53746.6,57551.0,61605.8,65660.6,69715.4,73770.2,77825.0,82717.6,87610.2,92502.8,97395.4,102288.0,110011.8,117735.6,125459.4,133183.2,140907.0,146482.6,152058.2,157633.8,163209.4,168785.0,178903.8,189022.6,199141.4,209260.2,219379,229034.0,238689.0,248344.0,257999.0,267654
Secular Beliefs,,85.4,170.8,256.2,341.6,427.0,512.4,597.8,683.2,768.6,854.0,812.5,771.0,729.5,688.0,646.5,605.0,563.5,522.0,480.5,439.0,530.0,621.0,712.0,803.0,894.0,985.0,1076.0,1167.0,1258.0,1349.0,1214.1,1079.2,944.3,809.4,674.5,539.6,404.7,269.8,134.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,168.0,336.0,504.0,672.0,840.0,1008.0,1176.0,1344.0,1512.0,1680.0,1848.0,2016.0,2184.0,2352.0,2016.0,1680.0,1344.0,1008.0,672.0,336.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5905.2,11810.4,17715.6,23620.8,29526,27488.8,25451.6,23414.4,21377.2,19340
Miscellaneous Religions,,5.6,11.2,16.8,22.4,28.0,33.6,39.2,44.8,50.4,56.0,67.0,78.0,89.0,100.0,111.0,122.0,133.0,144.0,155.0,166.0,207.0,248.0,289.0,330.0,371.0,412.0,453.0,494.0,535.0,576.0,518.4,460.8,403.2,345.6,288.0,230.4,172.8,115.2,57.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.71428571,21.42857143,32.14285714,42.85714286,53.57142857,64.28571429,75.0,85.71428571,96.42857143,107.1428571,117.8571429,128.5714286,139.28571430000002,150.0,128.5714286,107.1428571,85.71428571,64.28571429,42.85714286,21.42857143,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1937.0,3874.0,5811.0,7748.0,9685,10365.4,11045.8,11726.2,12406.6,13087
Nature Religions,9345.0,8435.9,7526.8,6617.7,5708.6,4799.5,3890.4,2981.3,2072.2,1163.1,254.0,247.1,240.2,233.3,226.4,219.5,212.6,205.7,198.8,191.9,185.0,191.9,198.8,205.7,212.6,219.5,226.4,233.3,240.2,247.1,254.0,228.6,203.2,177.8,152.4,127.0,101.6,76.2,50.8,25.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.928571429,7.857142857,11.78571429,15.71428571,19.64285714,23.57142857,27.5,31.42857143,35.35714286,39.28571429,43.21428571,47.14285714,51.07142857,55.0,47.14285714,39.28571429,31.42857143,23.57142857,15.71428571,7.857142857,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1679.6,3359.2,5038.8,6718.4,8398,8078.2,7758.4,7438.6,7118.8,6799
Spiritualism,,28.7,57.4,86.1,114.8,143.5,172.2,200.9,229.6,258.3,287.0,314.2,341.4,368.6,395.8,423.0,450.2,477.4,504.6,531.8,559.0,570.6,582.2,593.8,605.4,617.0,628.6,640.2,651.8,663.4,675.0,607.5,540.0,472.5,405.0,337.5,270.0,202.5,135.0,67.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.85714286,39.71428571,59.57142857,79.42857143,99.28571429,119.1428571,139.0,158.8571429,178.71428569999998,198.5714286,218.4285714,238.28571430000002,258.1428571,278.0,238.28571430000002,198.5714286,158.8571429,119.1428571,79.42857143,39.71428571,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,574.2,1148.4,1722.6,2296.8,2871,2811.8,2752.6,2693.4,2634.2,2575
Australian Aboriginal Traditional Religions,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,102.4,204.8,307.2,409.6,512.0,540.4,568.8,597.2,625.6,654.0,741.2,828.4,915.6,1002.8,1090,1183.0,1276.0,1369.0,1462.0,1555
Druse,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.4,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,210.6,421.2,631.8,842.4,1053,1042.8,1032.6,1022.4,1012.2,1002
